plant,customer,distance1,distance2,distance3
plant_1,customer_1,1022.53889181112,1909.0713259639908,1804.490045286005
plant_1,customer_4,79.7921304396741,113.16999487400508,122.10888588123635
plant_1,customer_5,1078.1929404643313,1722.460238216525,2546.3461830634546
plant_1,customer_9,437.4847090177786,718.872605160736,952.8084875040988
plant_1,customer_10,970.9808387821074,2023.1143767405144,2563.629100735848
plant_1,customer_11,1681.5577007743275,3315.4069282071555,4549.3963045111495
plant_1,customer_14,1169.6984052379737,1877.872673182883,3318.754851911455
plant_1,customer_15,224.0273946328993,385.93690127857644,245.16623028444928
plant_1,customer_17,560.9421034208754,738.42850924404,1144.215005744831
plant_1,customer_22,1446.054804660728,2980.688439645042,4077.8044552712713
plant_1,customer_24,999.2536219995391,1499.7430130797393,1856.3402113665709
plant_1,customer_27,855.2073690292932,1433.253895429845,2203.34181451516
plant_1,customer_29,309.0564478346439,583.5717423340866,747.5062296472686
plant_1,customer_30,291.1518741254339,518.5822110042035,777.7508953906432
plant_1,customer_32,1256.755979966286,2792.9253289965854,2683.1624097203076
plant_1,customer_34,308.6590693369437,605.8538108398225,790.1028887799456
plant_1,customer_35,768.668159669367,1279.1492901244076,1038.685412041245
plant_1,customer_36,749.7511423515718,1440.354799458368,1367.8033051054567
plant_1,customer_37,1264.3677411113727,1948.194519553489,2672.8039756923426
plant_1,customer_41,1016.1886696716679,1722.8398564615798,1439.6226776831847
plant_1,customer_53,614.2526681151794,1162.8066539259842,1642.659929676033
plant_1,customer_54,1584.4249293164273,2714.1615107906164,2066.339002735044
plant_1,customer_55,578.6770453698465,947.346408465195,1575.4316005594387
plant_1,customer_61,226.2118280925096,454.65393589878465,324.9167008612129
plant_1,customer_64,1623.2060385349462,2759.6352297455705,3193.8323686830363
plant_1,customer_72,525.8933274848038,807.2827277585477,1185.93088684504
plant_1,customer_79,749.1744979603038,1558.8103572424095,1682.2036131044965
plant_1,customer_81,985.6957483589337,1593.7172672199642,1221.7536349277734
plant_1,customer_84,948.9755775609286,1702.4528571897488,1865.256435994028
plant_1,customer_85,1247.9706070467748,1705.866193597563,2086.9375003370055
plant_1,customer_90,189.20903937887743,324.48051110745354,327.99883908084394
plant_1,customer_97,991.8405995327025,1628.104344486169,1008.7189359303077
plant_1,customer_103,1043.9806769848326,1893.701016871991,2259.219343278859
plant_1,customer_106,805.8969789703058,1625.8459424583846,980.3031632232602
plant_1,customer_110,928.9987470550279,1784.0681299126018,1530.309309045867
plant_1,customer_112,68.98818886270855,165.7898001502744,252.0919246133904
plant_1,customer_115,323.9110947383132,638.4098907230136,362.0767091491053
plant_1,customer_118,228.41511755229885,546.2384679709662,428.50738552817575
plant_1,customer_119,248.3034813695706,403.93032705433524,651.701234034518
plant_1,customer_123,1006.3111787600792,1323.9609258059622,1978.1186202562583
plant_1,customer_124,358.1767599061742,693.4529920770372,608.2871125040092
plant_1,customer_125,220.49923103782976,315.48133970426846,507.49034901072565
plant_1,customer_126,1575.2600329873414,3019.701009051253,3777.800512755294
plant_1,customer_127,264.493376472002,435.0894406342807,326.9526985313949
plant_1,customer_128,186.95396624582548,279.57698090338454,304.0154696671844
plant_1,customer_135,950.5122214144839,1713.5416490496139,2351.718058589334
plant_1,customer_137,1357.2025561911537,2399.4727161050764,3303.4385797594787
plant_1,customer_144,246.74720642496985,400.491827770981,467.1645411914931
plant_1,customer_153,1954.395165216437,4044.64774050722,3643.463969775575
plant_1,customer_159,929.5517838140329,1832.0733528085905,2013.060977622737
plant_1,customer_161,865.5170083118526,1705.8284857731737,1221.2282447041027
plant_1,customer_165,173.344876892157,349.1681781381407,552.2278415099064
plant_1,customer_167,1166.5992236617114,2753.9759343847522,2175.811340506721
plant_1,customer_172,685.0792011463902,1526.4376586836886,1385.4878073362129
plant_1,customer_173,1415.7366230585658,2655.2133845836024,2104.8268503779454
plant_1,customer_176,818.1057008017307,1425.101770685936,2080.2428689936824
plant_1,customer_177,887.3035503152051,1366.5459527182586,1618.569012271618
plant_1,customer_183,1027.72742873197,1457.1998179745128,1412.52905468283
plant_1,customer_185,878.2814738052786,1273.5768906341002,1682.072677261207
plant_1,customer_191,378.8421247745061,608.8389160250218,617.8900354867475
plant_1,customer_193,268.4893889142052,525.408975947704,549.9895619532971
plant_1,customer_195,1678.0419874344798,2905.489268058847,3667.612841177295
plant_1,customer_201,170.75745246164365,261.7742915513788,364.855124369304
plant_1,customer_208,1201.8570058120104,1987.6632193066573,1257.7319686211342
plant_1,customer_212,529.0481989672998,1089.6560724666247,1590.5871449054127
plant_1,customer_213,772.7100542061658,1086.7306654637614,1917.1999581349585
plant_1,customer_219,557.3328173573072,1175.5327473028678,604.1174201764237
plant_1,customer_221,470.6944653893795,813.5982435988636,516.080534056422
plant_1,customer_227,157.1360477058775,230.24850440258393,362.87994495425346
plant_1,customer_229,663.7050708847279,1373.6736114702808,673.0791770315301
plant_1,customer_231,126.09503200064482,193.6151015424644,170.07438429814079
plant_1,customer_237,552.7790627760955,876.0340384305334,1082.996121246511
plant_1,customer_240,651.4806813466893,1018.787312227592,1530.0714044599029
plant_1,customer_241,1502.2186039446876,2862.972580171523,2266.7224376100985
plant_1,customer_242,205.06404620942246,316.7384567119852,251.45821374024322
plant_1,customer_243,418.6996037119749,585.4523727812333,779.479699114426
plant_1,customer_245,484.6046650193059,1061.2572810067186,1454.0383673692863
plant_1,customer_246,1962.5704346252512,3737.625554917905,5054.87052435639
plant_1,customer_255,1498.7568951141286,2186.9755185207587,3568.3115195049722
plant_1,customer_256,923.94007749416,1457.2969711798157,1270.3402403223458
plant_1,customer_257,1067.2282428866167,1729.082561218979,1695.2363869680971
plant_1,customer_261,148.575188850651,260.92027438249283,364.3820499781174
plant_1,customer_262,1305.0739305422626,2808.6858068732026,2827.2771004989095
plant_1,customer_266,135.97848093981537,239.61334171644327,183.94329432363904
plant_1,customer_267,162.08016746997907,292.68567082320874,385.0170132382694
plant_1,customer_269,682.6782320674217,1377.6729799518348,1067.6244161075047
plant_1,customer_270,1878.390771050169,2821.032308806056,2605.7304626469795
plant_1,customer_275,322.01876664549485,510.06926409914337,596.0208074352589
plant_1,customer_279,332.56715108739525,792.160269120992,667.1536142035618
plant_1,customer_280,493.5757090986542,809.0783661847465,900.8852440297759
plant_1,customer_281,786.5936164321923,1214.4920476317504,1797.0071595704371
plant_1,customer_285,539.727768251692,882.5021022257228,1597.229342180565
plant_1,customer_289,102.44327470448218,210.56657971048912,344.9529937074273
plant_1,customer_291,656.9599734525025,1198.0079808305616,1896.1730373174871
plant_1,customer_304,1232.5161379964482,1899.2354019015852,2935.3794713325306
plant_1,customer_311,1296.5482119176133,3008.8779902045903,1588.2866639732715
plant_1,customer_312,366.8293502682253,568.1888380226068,1005.2156550139379
plant_1,customer_315,1760.3596362326462,2609.0606328335566,2252.4671668619926
plant_1,customer_329,765.2602520613649,1258.9116023804258,1607.7356821019866
plant_1,customer_334,422.806713151162,787.5972626893226,717.93308530489
plant_1,customer_335,634.5664035177572,851.5712812135994,628.3204632470168
plant_1,customer_338,1055.7845734047116,1853.8823373960827,2333.1748000173825
plant_1,customer_341,1347.2697945694433,2367.3121393027095,3216.7368746935076
plant_1,customer_343,315.8532945062076,622.2580433500673,612.3900533151095
plant_1,customer_355,222.39905706115903,301.70694029766037,552.439492244026
plant_1,customer_363,1197.83190237056,2294.0856848326257,3424.8581437459698
plant_1,customer_364,499.2355778909119,879.1084054389689,478.49908068585853
plant_1,customer_370,1560.649937860873,2845.0212093999894,2317.643109092637
plant_1,customer_371,728.4002386437304,1734.975360630694,1295.5817907479359
plant_1,customer_383,369.77954735248795,795.149003019142,983.4240211105398
plant_1,customer_384,432.69691712143543,609.4457283412602,1012.0627122134493
plant_1,customer_397,199.04408429910694,388.4840772163649,404.22479173386773
plant_1,customer_405,424.8781713086446,550.8362162940231,357.7056050562104
